N,mu,mutation,run,found,generation_found,best_fit,best_individual
8,20,0.3,4,True,167,28,"[3, 5, 7, 2, 0, 6, 4, 1]"
8,50,0.01,0,False,-1,27,"[2, 4, 7, 0, 3, 5, 6, 1]"
8,50,0.01,1,True,1,28,"[0, 5, 7, 2, 6, 3, 1, 4]"
8,50,0.01,2,True,3,28,"[3, 5, 7, 2, 0, 6, 4, 1]"
8,50,0.01,3,True,53,28,"[4, 2, 7, 3, 6, 0, 5, 1]"
8,50,0.01,4,True,3,28,"[3, 1, 6, 2, 5, 7, 4, 0]"
8,50,0.05,0,False,-1,27,"[5, 1, 4, 0, 7, 3, 6, 2]"
8,50,0.05,1,True,21,28,"[6, 2, 7, 1, 4, 0, 5, 3]"
8,50,0.05,2,True,428,28,"[5, 2, 4, 7, 0, 3, 1, 6]"
8,50,0.05,3,True,2,28,"[4, 6, 1, 5, 2, 0, 3, 7]"
8,50,0.05,4,True,4,28,"[7, 3, 0, 2, 5, 1, 6, 4]"
8,50,0.1,0,True,6,28,"[7, 2, 0, 5, 1, 4, 6, 3]"
8,50,0.1,1,True,1,28,"[5, 2, 4, 6, 0, 3, 1, 7]"
8,50,0.1,2,True,1,28,"[3, 0, 4, 7, 1, 6, 2, 5]"
8,50,0.1,3,True,6,28,"[6, 0, 2, 7, 5, 3, 1, 4]"
8,50,0.1,4,True,6,28,"[1, 6, 4, 7, 0, 3, 5, 2]"
8,50,0.15,0,True,4,28,"[2, 5, 7, 0, 3, 6, 4, 1]"
8,50,0.15,1,False,-1,27,"[3, 7, 2, 0, 6, 4, 1, 5]"
8,50,0.15,2,True,8,28,"[4, 0, 7, 5, 2, 6, 1, 3]"
8,50,0.15,3,True,8,28,"[4, 1, 3, 5, 7, 2, 0, 6]"
8,50,0.15,4,True,18,28,"[3, 5, 7, 1, 6, 0, 2, 4]"
8,50,0.2,0,True,3,28,"[3, 1, 4, 7, 5, 0, 2, 6]"
8,50,0.2,1,True,1,28,"[7, 1, 4, 2, 0, 6, 3, 5]"
8,50,0.2,2,True,1,28,"[4, 0, 3, 5, 7, 1, 6, 2]"
8,50,0.2,3,True,9,28,"[2, 5, 1, 6, 0, 3, 7, 4]"
8,50,0.2,4,True,1,28,"[2, 0, 6, 4, 7, 1, 3, 5]"
8,50,0.3,0,True,8,28,"[2, 4, 7, 3, 0, 6, 1, 5]"
8,50,0.3,1,True,2,28,"[3, 6, 4, 2, 0, 5, 7, 1]"
8,50,0.3,2,True,3,28,"[2, 4, 6, 0, 3, 1, 7, 5]"
8,50,0.3,3,True,11,28,"[6, 3, 1, 4, 7, 0, 2, 5]"
8,50,0.3,4,True,12,28,"[1, 5, 7, 2, 0, 3, 6, 4]"
8,100,0.01,0,True,7,28,"[3, 6, 2, 7, 1, 4, 0, 5]"
8,100,0.01,1,True,4,28,"[5, 2, 6, 3, 0, 7, 1, 4]"
8,100,0.01,2,True,4,28,"[1, 6, 4, 7, 0, 3, 5, 2]"
8,100,0.01,3,True,5,28,"[3, 5, 7, 2, 0, 6, 4, 1]"
8,100,0.01,4,True,3,28,"[2, 5, 1, 6, 4, 0, 7, 3]"
8,100,0.05,0,True,1,28,"[4, 7, 3, 0, 6, 1, 5, 2]"
8,100,0.05,1,True,1,28,"[6, 1, 3, 0, 7, 4, 2, 5]"
8,100,0.05,2,True,6,28,"[2, 6, 1, 7, 5, 3, 0, 4]"
8,100,0.05,3,True,2,28,"[0, 6, 3, 5, 7, 1, 4, 2]"
8,100,0.05,4,True,2,28,"[1, 5, 0, 6, 3, 7, 2, 4]"
8,100,0.1,0,True,4,28,"[4, 6, 0, 3, 1, 7, 5, 2]"
8,100,0.1,1,True,8,28,"[5, 2, 6, 1, 7, 4, 0, 3]"
8,100,0.1,2,True,1,28,"[6, 1, 5, 2, 0, 3, 7, 4]"
8,100,0.1,3,True,2,28,"[6, 0, 2, 7, 5, 3, 1, 4]"
8,100,0.1,4,True,2,28,"[7, 3, 0, 2, 5, 1, 6, 4]"
8,100,0.15,0,True,3,28,"[7, 1, 3, 0, 6, 4, 2, 5]"
8,100,0.15,1,True,5,28,"[6, 2, 0, 5, 7, 4, 1, 3]"
8,100,0.15,2,True,5,28,"[2, 7, 3, 6, 0, 5, 1, 4]"
8,100,0.15,3,True,2,28,"[3, 7, 4, 2, 0, 6, 1, 5]"
8,100,0.15,4,True,6,28,"[2, 5, 7, 0, 4, 6, 1, 3]"
8,100,0.2,0,True,4,28,"[3, 6, 0, 7, 4, 1, 5, 2]"
8,100,0.2,1,True,1,28,"[3, 5, 0, 4, 1, 7, 2, 6]"
8,100,0.2,2,True,8,28,"[1, 4, 6, 3, 0, 7, 5, 2]"
8,100,0.2,3,True,1,28,"[1, 3, 5, 7, 2, 0, 6, 4]"
8,100,0.2,4,True,4,28,"[5, 2, 0, 6, 4, 7, 1, 3]"
8,100,0.3,0,True,4,28,"[3, 1, 7, 5, 0, 2, 4, 6]"
8,100,0.3,1,True,9,28,"[5, 3, 0, 4, 7, 1, 6, 2]"
8,100,0.3,2,True,7,28,"[2, 4, 1, 7, 5, 3, 6, 0]"
8,100,0.3,3,True,4,28,"[3, 0, 4, 7, 5, 2, 6, 1]"
8,100,0.3,4,True,1,28,"[4, 1, 5, 0, 6, 3, 7, 2]"
10,20,0.01,0,False,-1,44,"[4, 5, 1, 9, 6, 8, 2, 7, 3, 0]"
10,20,0.01,1,False,-1,44,"[4, 9, 1, 6, 2, 0, 8, 7, 5, 3]"
10,20,0.01,2,False,-1,44,"[6, 2, 7, 1, 8, 4, 9, 0, 3, 5]"
10,20,0.01,3,False,-1,44,"[9, 7, 2, 4, 1, 8, 5, 0, 6, 3]"
10,20,0.01,4,False,-1,44,"[5, 3, 1, 6, 8, 0, 4, 7, 9, 2]"
10,20,0.05,0,False,-1,44,"[0, 6, 8, 3, 1, 9, 5, 2, 4, 7]"
10,20,0.05,1,True,66,45,"[4, 0, 7, 5, 2, 8, 1, 3, 9, 6]"
10,20,0.05,2,True,285,45,"[4, 1, 3, 8, 2, 7, 9, 6, 0, 5]"
10,20,0.05,3,False,-1,44,"[6, 3, 0, 4, 7, 9, 2, 1, 5, 8]"
10,20,0.05,4,True,37,45,"[3, 1, 9, 5, 8, 4, 7, 0, 2, 6]"
10,20,0.1,0,True,13,45,"[7, 4, 1, 3, 6, 9, 2, 8, 5, 0]"
10,20,0.1,1,False,-1,44,"[3, 7, 9, 1, 5, 2, 0, 6, 8, 4]"
10,20,0.1,2,True,73,45,"[4, 6, 3, 9, 2, 5, 8, 1, 7, 0]"
10,20,0.1,3,True,161,45,"[6, 0, 3, 8, 4, 7, 9, 2, 5, 1]"
10,20,0.1,4,True,1,45,"[1, 6, 9, 5, 0, 8, 4, 2, 7, 3]"
10,20,0.15,0,True,33,45,"[5, 3, 8, 0, 2, 9, 6, 1, 7, 4]"
10,20,0.15,1,True,16,45,"[0, 3, 8, 6, 1, 9, 2, 5, 7, 4]"
10,20,0.15,2,True,384,45,"[6, 4, 0, 7, 9, 2, 5, 8, 1, 3]"
10,20,0.15,3,True,39,45,"[5, 3, 8, 0, 2, 6, 9, 7, 1, 4]"
10,20,0.15,4,False,-1,44,"[5, 8, 2, 4, 7, 9, 0, 3, 1, 6]"
10,20,0.2,0,True,127,45,"[8, 1, 4, 9, 7, 0, 3, 6, 2, 5]"
10,20,0.2,1,False,-1,44,"[2, 3, 5, 7, 9, 1, 6, 4, 0, 8]"
10,20,0.2,2,False,-1,44,"[6, 4, 1, 0, 9, 5, 2, 8, 3, 7]"
10,20,0.2,3,False,-1,44,"[5, 1, 8, 9, 2, 6, 3, 0, 7, 4]"
10,20,0.2,4,False,-1,44,"[5, 0, 8, 3, 7, 2, 9, 1, 6, 4]"
